id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
1,meter,meters,m,t,"{""factor"": 1}",0
2,millimeter,millimeters,mm,f,"{""factor"": 0.001}",0
3,centimeter,centimeters,cm,f,"{""factor"": 0.01}",0
4,kilometer,kilometers,km,f,"{""factor"": 1000}",0
5,mile,miles,mi,f,"{""factor"": 1609.34}",0
6,foot,feet,ft,f,"{""factor"": 0.3048}",0
7,date,dates,date,t,"{""factor"": 1}",0
8,inch,inches,in,f,"{""factor"": 0.0254}",0
9,yard,yards,yd,f,"{""factor"": 0.9144}",0
10,kilogram,kilograms,kg,t,"{""factor"": 1}",0
11,milligram,milligrams,mg,f,"{""factor"": 0.000001}",0
12,hectogram,hectograms,hg,f,"{""factor"": 0.1}",0
13,gram,grams,g,f,"{""factor"": 0.001}",0
14,tonne,tonnes,t,f,"{""factor"": 1000}",0
15,"ton (US, short)","tons (US, short)",sh. t,f,"{""factor"": 907.18474}",0
16,"tonne (UK, long)","tonnes (UK, long)",l. t,f,"{""factor"": 1016.046909}",0
17,gigagram,gigagrams,Gg,f,"{""factor"": 1000000}",0
18,pound,pounds,lb,f,"{""factor"": 0.45359237}",0
19,ounce,ounces,oz,f,"{""factor"": 0.028349523}",0
20,"bushel (wheat, white potatoes, beans, soybeans, peas)","bushels (wheat, white potatoes, beans, soybeans, peas)",bu,f,"{""factor"": 27.21532767}",0
21,bushel (oats),bushels (oats),bu,f,"{""factor"": 15.42210296}",0
22,"bushel (barley, buckwheat, apples)","bushels (barley, buckwheat, apples)",bu,f,"{""factor"": 21.77226214}",0
23,"bushel (corn, rye, sorghum grain, flaxseed)","bushels (corn, rye, sorghum grain, flaxseed)",bu,f,"{""factor"": 25.40134119}",0
24,"bushel (canola, mustard seed, canary seed)","bushels (canola, mustard seed, canary seed)",bu,f,"{""factor"": 22.6796}",0
25,bushel (30lb sunflower seed),bushels (30lb sunflower seed),bu,f,"{""factor"": 13.60784901}",0
26,bushel (50lb triticale),bushels (50lb triticale),bu,f,"{""factor"": 23.58713086}",0
27,second,seconds,s,t,"{""factor"": 1}",0
28,millisecond,milliseconds,ms,f,"{""factor"": 0.001}",0
29,minute,minutes,min,f,"{""factor"": 60}",0
30,hour,hours,h,f,"{""factor"": 3600}",0
31,day,days,d,f,"{""factor"": 86400}",0
32,week,weeks,wk,f,"{""factor"": 604800}",0
33,month,months,mo,f,"{""factor"": 2592000}",0
34,year,years,yr,f,"{""factor"": 31536000}",0
35,Kelvin,Kelvin,K,t,"{""factor"": 1, ""offset"": 0}",1
36,Celsius,Celsius,°C,f,"{""factor"": 1, ""offset"": 273.15}",1
37,Fahrenheit,Fahrenheit,°F,f,"{""factor"": 0.5555555555555556, ""offset"": 255.37222222222222222222}",1
38,square meter,square meters,m²,t,"{""factor"": 1}",0
39,square centimeter,square centimeters,cm²,f,"{""factor"": 0.0001}",0
40,square kilometer,square kilometers,km²,f,"{""factor"": 1000000}",0
41,acre,acres,acre,f,"{""factor"": 4046.856422}",0
42,hectare,hectares,ha,f,"{""factor"": 10000}",0
43,US Dollar (constant 2010),US Dollars (constant 2010),USD (constant 2010),f,"{""factor"": null}",0
44,square foot,square feet,ft²,f,"{""factor"": 0.09290304}",0
45,square inch,square inches,in²,f,"{""factor"": 0.00064516}",0
46,square mile,square miles,mi²,f,"{""factor"": 2589988.11}",0
47,square millimeter,square millimeters,mm²,f,"{""factor"": 0.000001}",0
48,square yard,square yards,yd²,f,"{""factor"": 0.83612736}",0
49,cubic meter,cubic meters,m³,t,"{""factor"": 1}",0
50,cubic millimeter,cubic millimeters,mm³,f,"{""factor"": 0.000000001}",0
51,cubic centimeter,cubic centimeters,cm³,f,"{""factor"": 0.000001}",0
52,liter,liters,L,f,"{""factor"": 0.001}",0
53,centiliter,centiliters,cL,f,"{""factor"": 0.00001}",0
54,milliliter,milliliters,mL,f,"{""factor"": 0.000001}",0
55,dekaliter,dekaliters,daL,f,"{""factor"": 0.01}",0
56,gallon (fluid),gallons (fluid),gal,f,"{""factor"": 0.003785412}",0
57,gallon (UK),gallons (UK),gal,f,"{""factor"": 0.00454609}",0
58,barrel (petroleum),barrels (petroleum),bbl,f,"{""factor"": 0.158987295}",0
59,fluid ounce,fluid ounces,fl oz,f,"{""factor"": 0.0000295735}",0
60,fluid ounce (UK),fluid ounces (UK),fl oz,f,"{""factor"": 0.000028413}",0
61,tonne per hectare,tonnes per hectare,t/ha,f,"{""factor"": 0.1}",0
62,tonne per acre,tonnes per acre,t/acre,f,"{""factor"": 0.247105382}",0
63,tonne per square kilometer,tonnes per square kilometer,t/km²,f,"{""factor"": 0.001}",0
64,tonne per square mile,tonnes per square mile,t/mi²,f,"{""factor"": 0.000386102}",0
65,Local Currency Unit (constant 2010),Local Currency Units (constant 2010),LCU (constant 2010),f,"{""factor"": null}",0
66,US Dollar per barrel,US Dollars per barrel,USD/BBL,f,"{""factor"": 6.289810767583662}",0
67,kilogram per square meter,kilograms per square meter,kg/m²,t,"{""factor"": 1}",0
68,"ton (US, short) per hectare","tons (US, short) per hectare",sh. t/ha,f,"{""factor"": 0.090718474}",0
69,"ton (US, short) per acre","tons (US, short) per acre",sh. t/acre,f,"{""factor"": 0.224170231}",0
70,"ton (US, short) per square kilometer","tons (US, short) per square kilometer",sh. t/km²,f,"{""factor"": 0.000907185}",0
71,"ton (US, short) per square mile","tons (US, short) per square mile",sh. t/mi²,f,"{""factor"": 0.000350266}",0
72,US Dollar per dry tonne,US Dollars per dry tonne,USD/t (dry),f,"{""factor"": 0.001}",0
73,US Dollar per Million British Thermal Units,US Dollars per Million British Thermal Units,USD/MMBTU,f,"{""factor"": 0.000000000947813394498891}",0
74,kilogram per hectare,kilograms per hectare,kg/ha,f,"{""factor"": 0.0001}",0
